identifier,creator,title,date,downloads,venue
1999-04-27.paf.daud.seff.1483.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Luther Burbank Center on 1999-04-27,1999-04-27T00:00:00Z,11220,Luther Burbank Center
1999-05-29.paf.DTS.dan.27489.sbeok.flacf,Phil Lesh and Friends,"Phil Lesh and Friends Live at Mountain Aire Music Festival, Calavaras County Fai on 1999-05-29",1999-05-29T00:00:00Z,2414,"Mountain Aire Music Festival, Calavaras County Fai"
1999-05-29.paf.MTX.dan.27496.sbefail.flacf,Phil Lesh and Friends,"Phil Lesh and Friends Live at Mountain Aire Music Festival, Calavaras County Fai on 1999-05-29",1999-05-29T00:00:00Z,7602,"Mountain Aire Music Festival, Calavaras County Fai"
1999-05-29.paf.akg.granoff.24477.sbeok.flacf,Phil Lesh and Friends,"Phil Lesh and Friends Live at Mountain Aire Music Festival, Calavaras County Fai on 1999-05-29",1999-05-29T00:00:00Z,5769,"Mountain Aire Music Festival, Calavaras County Fai"
1999-05-29.paf.dsbd.nickspicks.5882.sbefail.flacf,Phil Lesh and Friends,"Phil Lesh and Friends Live at Mountain Aire Music Festival, Calavaras County Fai on 1999-05-29",1999-05-29T00:00:00Z,24707,"Mountain Aire Music Festival, Calavaras County Fai"
1999-06-04.paf.daud.vernon.7813.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-06-04,1999-06-04T00:00:00Z,3059,Warfield Theater
1999-06-04.paf.sbd.miller.29450.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-06-04,1999-06-04T00:00:00Z,9115,Warfield Theater
1999-06-04.paf.sbd.pujol.8496.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-06-04,1999-06-04T00:00:00Z,8714,Warfield Theater
1999-06-05.paf.neumann.unknown.5884.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Warfield Theater on 1999-06-05,1999-06-05T00:00:00Z,32023,Warfield Theater
1999-06-28.paf.daud.miller.25408.sbeok.flacf,Phil Lesh and Friends,Phil Lesh and Friends Live at Club Front on 1999-06-28,1999-06-28T00:00:00Z,2568,Club Front
